rank,title,year,rating,genres
16,"nosferatu, a symphony of horror",1922,97,classics
17,snow white and the seven dwarfs,1937,98,classics
18,the adventures of robin hood,1938,100,classics
19,repulsion,1965,100,classics
20,north by northwest,1959,99,classics
21,sunset boulevard,1950,98,classics
22,rear window,1954,100,classics
23,the bride of frankenstein,1935,100,classics
24,the philadelphia story,1940,100,classics
25,touch of evil,1958,96,classics
26,seven samurai,1956,100,classics
27,all quiet on the western front,1930,100,classics
28,12 angry men,1957,100,classics
29,the treasure of the sierra madre,1948,100,classics
30,a streetcar named desire,1951,98,classics
31,vertigo,1958,96,classics
32,the 400 blows,1959,100,classics
33,rebecca,1940,100,classics
34,lawrence of arabia,1962,98,classics
35,rosemary's baby,1968,99,classics
36,dr. strangelove or how i learned to stop worrying and love the bomb,1964,99,classics
37,frankenstein,1931,100,classics
38,rashômon,1951,98,classics
39,on the waterfront,1954,98,classics
40,the grapes of wrath,1940,100,classics
41,the big sleep,1946,97,classics
42,roman holiday,1953,98,classics
43,the lady vanishes,1938,98,classics
44,the last picture show,1971,100,classics
45,cool hand luke,1967,100,classics
46,the leopard,1963,100,classics
47,chinatown,1974,98,classics
48,battleship potemkin,1925,100,classics
49,the searchers,1956,100,classics
50,anatomy of a murder,1959,100,classics
51,invasion of the body snatchers,1956,98,classics
52,gone with the wind,1939,92,classics
53,an american in paris,1951,95,classics
54,the gold rush,1925,100,classics
55,the 39 steps,1935,96,classics
56,the red shoes,1948,96,classics
57,rio bravo,1959,100,classics
58,sweet smell of success,1957,98,classics
59,to be or not to be,1942,98,classics
60,mary poppins,1964,100,classics
61,the african queen,1951,98,classics
62,city lights,1931,98,classics
63,miracle on 34th street,1947,96,classics
64,2001: a space odyssey,1968,93,classics
65,his girl friday,1940,98,classics
66,it's a wonderful life,1946,93,classics
67,night of the living dead,1968,97,classics
68,the french connection,1971,98,classics
69,the passion of joan of arc,1928,98,classics
70,throne of blood,1957,98,classics
71,badlands,1974,98,classics
72,the manchurian candidate,1962,98,classics
73,gentlemen prefer blondes,1953,98,classics
74,freaks,1932,94,classics
75,the birth of a nation,1915,98,classics
76,spartacus,1960,96,classics
