rank,title,year,rating,genres
50,nascar: the imax experience,2004,61,sports|fitness
51,glory road,2006,56,sports|fitness
52,the sandlot,1993,57,sports|fitness
53,because of winn-dixie,2005,55,sports|fitness
54,the perfect game,2010,57,sports|fitness
55,steep,2007,54,sports|fitness
56,first descent,2005,52,sports|fitness
57,soul surfer,2011,45,sports|fitness
58,goal! the dream begins,2005,43,sports|fitness
59,the replacements,2000,41,sports|fitness
60,beerfest,2006,40,sports|fitness
61,grudge match,2013,30,sports|fitness
62,jiminy glick in lalawood,2005,22,sports|fitness
63,playing for keeps,2012,5,sports|fitness
1,life itself,2014,97,television
2,afghan star,2009,100,television
3,49 up,2006,97,television
4,room 237,2013,94,television
5,behind the candelabra,2013,95,television
6,a film unfinished,2010,97,television
7,the return,2004,95,television
8,being elmo: a puppeteer's journey,2011,95,television
9,"not quite hollywood: the wild, untold story of ozploitation!",2008,95,television
10,los angeles plays itself,2003,96,television
11,lost in la mancha,2003,94,television
12,best worst movie,2010,95,television
13,sing your song,2012,95,television
14,american movie,1999,94,television
15,the normal heart,2014,94,television
16,"yoo-hoo, mrs. goldberg",2009,93,television
17,the kid stays in the picture,2002,91,television
18,side by side,2012,92,television
19,joan rivers: a piece of work,2010,91,television
20,f for fake,1974,88,television
21,duel,1972,88,television
22,saraband,2003,91,television
23,corman's world: exploits of a hollywood rebel,2011,92,television
24,"electric boogaloo: the wild, untold story of cannon films",2012,91,television
25,tell them who you are,2005,88,television
26,the five obstructions,2003,88,television
27,doctor zhivago,1965,82,television
28,this film is not yet rated,2006,84,television
29,trekkies,1999,86,television
30,inside deep throat,2005,83,television
31,outfoxed: rupert murdoch's war on journalism,2004,85,television
32,trumbo,2007,83,television
33,confirmation,2016,82,television
34,tupac: resurrection,2003,78,television
35,overnight,2004,78,television
36,teacher's pet,2004,76,television
37,pom wonderful presents: the greatest movie ever sold,2011,74,television
38,fellini: i'm a born liar,2003,73,television
39,my date with drew,2004,71,television
40,only human,2006,71,television
41,waking sleeping beauty,2010,70,television
42,porn star: the legend of ron jeremy,2001,69,television
43,the rugrats movie,1998,59,television
44,i'm still here,2010,53,television
45,no strings attached,2011,49,television
46,bamboozled,2000,48,television
47,the real cancun,2003,35,television
48,i am,2011,36,television
49,15 minutes,2001,32,television
50,man of the year,2006,22,television
51,pokemon 3: the movie,2001,21,television
52,the honeymooners,2005,13,television
53,from justin to kelly,2003,10,television
1,the treasure of the sierra madre,1948,100,western
2,"the good, the bad and the ugly",1966,97,western
3,high noon,1952,96,western
4,the searchers,1956,100,western
5,rio bravo,1959,100,western
6,once upon a time in the west,1968,98,western
7,true grit,2010,96,western
8,unforgiven,1992,96,western
9,a fistful of dollars,1964,98,western
10,the wild bunch,1969,94,western
11,the ballad of buster scruggs,2018,92,western
12,johnny guitar,1954,95,western
13,giant,1956,95,western
14,sweetgrass,2009,97,western
15,the man who shot liberty valance,1962,93,western
16,lone star,1996,94,western
17,butch cassidy and the sundance kid,1969,90,western
18,3:10 to yuma,2007,89,western
19,django unchained,2012,86,western
20,blazing saddles,1974,90,western
21,true grit,1969,88,western
22,mccabe & mrs. miller,1971,89,western
23,bone tomahawk,2015,91,western
24,the magnificent seven,1960,88,western
25,near dark,1987,88,western
26,the three burials of melquiades estrada,2006,85,western
27,meek's cutoff,2011,86,western
28,the proposition,2005,85,western
29,dances with wolves,1990,82,western
30,the homesman,2014,81,western
31,the hateful eight,2015,74,western
32,"the good, the bad, the weird",2010,83,western
33,open range,2003,79,western
34,shanghai noon,2000,79,western
35,appaloosa,2008,76,western
36,the assassination of jesse james by the coward robert ford,2007,76,western
37,hostiles,2018,71,western
38,red hill,2010,78,western
39,in a valley of violence,2016,76,western
40,the keeping room,2015,75,western
41,the horse whisperer,1998,74,western
42,blackthorn,2011,75,western
43,tombstone,1993,73,western
44,fah talai jone,2007,74,western
45,the magnificent seven,2016,63,western
46,the salvation,2015,72,western
47,dead man,1995,70,western
48,the rover,2014,66,western
49,maverick,1994,66,western
50,the claim,2000,62,western
51,the missing,2003,58,western
52,heaven's gate,1980,57,western
53,legends of the fall,1994,56,western
54,the quick and the dead,1995,57,western
55,sukiyaki western django,2008,56,western
56,the killer inside me,2010,54,western
57,seraphim falls,2007,55,western
58,ned kelly,2003,56,western
59,down in the valley,2006,52,western
60,cowboys & aliens,2011,45,western
61,forsaken,2016,43,western
62,jane got a gun,2016,41,western
63,brimstone,2017,41,western
64,a million ways to die in the west,2014,33,western
65,the lone ranger,2013,31,western
66,the alamo,2004,29,western
67,the warrior's way,2010,28,western
68,the dark tower,2017,16,western
69,wild wild west,1999,17,western
70,priest,2011,15,western
71,american outlaws,2001,14,western
72,september dawn,2007,15,western
73,jonah hex,2010,12,western
74,texas rangers,2001,2,western
