title,user_score,year,duration,country,usa_gross,world_gross
devil girl,37.0,2007,83,USA,3244,3244
sex sells: the making of 'touché',48.0,2005,96,USA,3252,3252
windsor drive,30.0,2015,90,USA,3256,3256
justice,40.0,2017,92,USA,3259,3259
calvaire,62.0,2004,88,"Belgium, France, Luxembourg",3260,3260
i love your work,53.0,2003,111,USA,3264,3264
axe giant: the wrath of paul bunyan,35.0,2013,90,USA,3287,3287
burning bodhi,49.0,2015,93,USA,3289,3289
looking through lillian,51.0,2001,98,USA,3300,3300
drunk wedding,46.0,2015,81,USA,3301,3301
sono pazzo di iris blond,62.0,1996,110,Italy,3303,3303
swerve,53.0,2011,86,Australia,3338,3338
fashion victim,31.0,2008,90,USA,3346,3346
followers,37.0,2017,82,USA,3350,3350
bad match,55.0,2017,90,"Singapore, USA",3351,3351
amanda & jack go glamping,45.0,2017,94,USA,3352,3352
american fork,62.0,2007,84,USA,3359,3359
rottentail,35.0,2018,106,USA,3383,3383
tamala 2010: a punk cat in space,65.0,2002,92,Japan,3386,3386
the happy poet,61.0,2010,85,USA,3400,3400
mahogany sunrise,78.0,2014,100,USA,3432,3432
scenic route,65.0,2013,82,USA,3434,3434
clifton hill,57.0,2019,100,Canada,3449,3449
aftermath,51.0,2013,84,USA,3451,3451
short eyes,70.0,1977,100,USA,3456,3456
death of a ghost hunter,45.0,2007,107,USA,3490,3490
locker 13,48.0,2014,90,USA,3496,3496
when the party's over,49.0,1992,114,USA,3514,3514
the roads not taken,49.0,2020,85,"UK, Sweden, USA, Poland, Spain",3518,3518
steekspel,61.0,2012,55,Netherlands,3533,3533
antônia,64.0,2006,90,Brazil,3550,3550
fourplay,46.0,2018,77,USA,3550,3550
the last film festival,40.0,2016,90,USA,3558,3558
i'm reed fish,57.0,2006,93,USA,3567,3567
happy here and now,50.0,2002,89,USA,3574,3574
hide your smiling faces,60.0,2013,81,USA,3576,3576
hyena,61.0,2014,112,UK,3401,3586
